id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,RightClickDisabled,PopUpWindow,IframeOrFrame,MissingTitle,ImagesOnlyInForm
1,6,1,2,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,33,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
2,2,1,3,76,4,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,28,41,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
3,3,1,1,59,0,0,0,0,3,0,0,0,0,8,1,1,0,0,0,0,28,24,0,0,0,0,0.875,0,0,0,0,0,0,0,1,0,0
4,5,1,3,67,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,16,44,0,0,0,0,0.15625,0,1,0,0,0,0,0,0,0,0
5,2,0,4,88,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,62,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
6,3,1,3,55,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,14,34,0,0,0,0,0.1875,0,1,0,0,0,0,0,1,0,0
7,3,1,1,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,13,0,0,0,0,0.411764706,0,1,0,1,0,0,0,0,0,0
8,3,1,3,40,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,0,13,20,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
9,2,0,3,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,18,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
10,3,1,2,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11,2,1,0,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,1,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0
12,2,0,6,72,1,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,13,52,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
13,2,0,3,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,27,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
14,2,0,3,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15,2,0,3,51,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,28,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
16,2,1,2,37,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,22,8,0,0,0,0,0.2,1,1,1,0,1,0,0,0,0,1
17,4,1,8,87,0,0,0,0,1,0,0,0,0,16,1,1,0,0,0,0,14,66,0,0,0,0,0.035294118,0,1,1,0,1,0,0,0,0,0
18,3,1,1,42,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,19,8,7,0,0,0,1,0,1,0,1,0,0,0,0,0,0
19,3,1,4,120,1,0,0,0,0,0,0,0,0,39,1,1,0,0,0,0,16,97,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
20,3,1,2,88,6,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,17,64,0,0,0,0,0.818181818,0,0,0,0,0,0,0,1,0,0
21,2,0,3,62,5,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,13,42,0,0,0,0,0.044444444,0,1,0,0,0,0,0,0,0,0
22,6,1,5,169,0,0,0,1,0,0,1,0,0,48,1,1,0,0,1,0,21,66,74,0,1,0,0,0,1,0,0,0,0,0,0,0,0
23,3,1,4,95,4,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,24,64,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
24,1,0,3,86,12,0,0,0,0,0,0,0,0,18,1,1,0,0,1,0,13,66,0,0,0,0,0.166666667,0,1,0,0,0,0,0,0,0,0
25,1,0,2,44,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,19,18,0,0,0,0,0.542857143,0,0,0,0,0,0,0,1,0,0
26,2,1,0,41,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,16,1,16,0,0,0,0.52238806,0,1,1,0,1,0,0,1,0,0
27,8,0,4,106,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,17,82,0,0,2,0,1,0,1,0,0,0,0,0,1,1,0
28,2,0,2,90,10,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,14,69,0,0,0,0,0.058823529,0,1,0,0,0,0,0,0,0,0
29,2,1,5,57,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,25,0,0,0,0,0.066666667,0,1,0,0,0,0,0,1,0,0
30,3,1,2,34,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,5,0,0,0,0,0.111111111,1,1,1,0,0,0,0,0,0,0
31,2,0,2,39,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,24,0,0,0,0,0.354166667,0,1,0,0,0,1,0,1,0,0
32,1,0,3,79,1,0,0,0,0,1,1,0,0,7,1,0,0,0,1,0,17,17,37,0,0,0,0.25,0,1,1,0,0,0,0,1,0,0
33,3,1,3,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,33,0,0,0,0,0.388888889,0,1,0,0,0,0,0,1,0,0
34,2,0,5,72,1,0,0,0,1,0,0,0,0,15,1,1,0,0,0,0,15,50,0,0,0,0,0.470588235,0,1,0,0,0,0,0,0,0,0
35,2,0,7,86,1,1,0,0,0,0,0,0,0,13,1,1,0,0,1,0,28,51,0,0,2,0,0.333333333,0,1,0,0,0,0,0,0,0,0
36,1,0,4,59,0,0,0,0,0,0,0,0,0,17,1,1,0,0,1,0,12,40,0,0,0,0,0.125,0,1,1,0,0,0,0,0,0,0
37,4,1,9,135,1,0,0,1,0,0,0,0,0,22,1,1,0,0,1,0,18,110,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
38,2,0,1,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
39,2,0,4,136,10,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,21,108,0,0,0,0,0.801801802,0,1,0,1,0,0,1,1,0,0
40,4,0,3,55,0,0,0,0,1,0,1,1,0,10,1,0,1,0,0,0,12,22,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,2,0,2,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42,1,0,3,50,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,15,28,0,0,0,0,0.323076923,0,1,0,1,0,0,0,1,0,0
43,1,0,6,74,2,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,21,46,0,0,0,0,0.5125,0,1,0,1,0,0,0,1,0,0
44,2,0,3,97,10,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,13,77,0,0,0,0,0.37037037,0,1,0,1,0,0,0,1,0,0
45,3,1,4,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,50,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
46,1,0,2,89,10,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,14,68,0,0,0,0,0.987951807,1,1,1,0,0,0,0,0,0,0
47,2,0,3,54,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,29,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
48,3,1,0,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
49,2,1,8,157,0,0,0,0,1,0,0,0,0,37,1,1,0,0,1,0,22,83,44,0,0,0,0,0,1,1,0,1,0,0,0,0,0
50,4,2,4,75,5,5,0,0,0,0,0,0,0,13,1,1,0,0,1,0,36,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,1,0,5,73,6,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,8,58,0,0,0,0,0.981132076,1,1,1,0,0,0,0,1,0,0
52,3,1,2,52,0,0,0,0,0,0,2,1,0,7,1,0,0,0,0,0,15,17,12,0,0,0,0.125,0,1,0,0,0,0,0,0,0,0
53,2,0,2,47,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,21,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
54,2,0,2,96,3,0,0,0,0,0,2,1,0,6,1,1,0,0,0,0,16,50,22,0,0,0,0.161290323,0,0,0,0,0,1,1,1,0,0
55,2,1,2,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,1,0,5,95,6,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,15,73,0,0,0,0,0.571428571,0,1,0,1,0,0,0,1,0,0
57,1,0,2,40,0,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,14,8,10,0,0,0,0.4,0,1,1,0,1,0,0,1,0,0
58,3,0,5,88,2,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,18,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2,0,5,88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,56,0,0,0,0,0.017241379,0,1,0,0,0,0,0,0,0,0
60,2,0,3,47,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,11,29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
61,3,0,3,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,27,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
62,2,0,3,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,2,1,4,76,5,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,17,52,0,0,0,0,0.21875,0,1,0,0,0,0,0,0,0,0
64,2,0,5,62,0,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,17,38,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
65,2,0,3,45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
66,2,0,3,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,24,0,0,0,0,0.142857143,1,1,0,0,0,0,0,1,0,0
67,2,1,4,44,0,0,0,0,0,0,0,0,0,14,1,1,0,0,0,0,19,18,0,0,0,0,0.888888889,0,0,0,1,0,0,0,1,0,0
68,1,0,3,75,6,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,18,50,0,0,0,0,0.413333333,1,1,1,0,0,0,0,0,0,0
69,2,0,2,38,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,21,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
70,1,0,3,64,0,0,0,0,0,0,0,0,0,22,1,1,0,0,0,0,19,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,2,0,5,199,0,0,0,0,3,0,3,2,0,54,1,1,0,0,1,0,14,81,96,0,1,0,0.965517241,1,1,0,1,0,0,0,0,0,0
72,4,1,6,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,44,0,0,1,0,0.285714286,0,1,0,0,0,0,0,0,0,0
73,2,1,4,46,0,0,0,0,0,0,0,0,0,11,1,1,0,0,1,0,20,19,0,0,0,0,0.021276596,0,1,1,0,0,0,0,0,0,0
